id,校区,教室,类别,是否排课,容量,教学楼
3797,成都,2-603,实验室,是,30,2
3796,成都,2-605,实验室,是,30,2
4868,成都,2-607,实验室,否,30,2
3492,成都,3-109B,实验室,是,40,无
3352,成都,4-A106,多媒体,是,266,第4教学楼A区
3358,成都,4-A109,多媒体,是,158,第4教学楼A区
3360,成都,4-A203,多媒体,是,196,第4教学楼A区
3364,成都,4-A208,多媒体,是,266,第4教学楼A区
3366,成都,4-A303,多媒体,是,196,第4教学楼A区
3368,成都,4-A305,多媒体,是,196,第4教学楼A区
3370,成都,4-A307,多媒体,是,158,第4教学楼A区
3371,成都,4-A308,多媒体,是,158,第4教学楼A区
3373,成都,4-A403,多媒体,是,198,第4教学楼A区
3375,成都,4-A406,多媒体,是,266,第4教学楼A区
3376,成都,4-A407,多媒体,是,158,第4教学楼A区
3378,成都,4-A409,多媒体,是,158,第4教学楼A区
3383,成都,4-B105,多媒体,是,116,第4教学楼B区
3487,成都,4-B106,多媒体,是,149,第4教学楼B区
3488,成都,4-B108,多媒体,是,147,第4教学楼B区
3388,成都,4-B205,多媒体,是,116,第4教学楼B区
3390,成都,4-B207,多媒体,是,116,第4教学楼B区
3392,成都,4-B209,多媒体,是,116,第4教学楼B区
3453,成都,4-B402,多媒体,是,143,第4教学楼B区
3457,成都,4-B407,多媒体,是,116,第4教学楼B区
3458,成都,4-B408,多媒体,是,147,第4教学楼B区
3405,成都,4-B504,多媒体,是,149,第4教学楼B区
3409,成都,4-B508,多媒体,是,147,第4教学楼B区
3410,成都,4-B509,多媒体,是,67,第4教学楼B区
3420,成都,4-B610,多媒体,是,70,第4教学楼B区
3829,成都,4-C105,多媒体,是,130,第4教学楼C区
3830,成都,4-C106,多媒体,是,148,第4教学楼C区
3832,成都,4-C108,多媒体,是,148,第4教学楼C区
3866,成都,4-C202,实验室,否,90,第4教学楼C区
3838,成都,4-C204,多媒体,否,147,第4教学楼C区
3839,成都,4-C205,多媒体,否,130,第4教学楼C区
3836,成都,4-C206,多媒体,否,147,第4教学楼C区
4731,成都,4-C402,实验室,是,75,4
3495,成都,4-C408,实验室,否,75,第4教学楼C区
3496,成都,4-C409,实验室,否,60,第4教学楼C区
3757,成都,5-324,实验室,是,42,5
3779,成都,5-627,实验室,是,58,五教
4705,成都,6-118,实验室,是,56,6
4728,成都,7-405,实验室,是,60,7
4755,成都,木工车间03,实验室,是,40,木工车间
3582,都江堰,1219,多媒体,是,169,一教
3596,都江堰,1403,多媒体,是,136,一教
3602,都江堰,1409,多媒体,是,77,一教
